Tipo Imóvel,Bairro,Dormitorios,Banheiros,Garagens,A. Terreno M²,A. Construída M²,Alarme,Ar Condicionado,Armários,Box Blindex,Cerca Elétrica,Churrasqueira,Cozinha,Escritório,Home Theater,Iluminação,Lavabo,Piscina,Porcelanato,Portão Eletronico,Sala de Estar,Sala de Jantar,Semi Mobiliado,Varanda,Precio
Terreno Lote,Jardim La Salle,0,0,0,566.33 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200000.00
Terreno Lote,Jardim Concórdia,0,0,0,368.84 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298000.00
Casa Padrão,Jardim Coopagro,1,2,2,125.00 ,58.00 ,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,275000.00
Casa Padrão,Jardim Coopagro,1,2,2,125.00 ,58.00 ,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,275000.00
Casa Sobrado,Jardim La Salle,4,4,4,511.23 ,235.00 ,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1650000.00
Terreno Lote,Tocantins,0,0,0,5969.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500000.00
Casa Padrão,Centro,1,4,2,1000.00 ,260.00 ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1100000.00
Casa Padrão,São Francisco,1,2,,113.09 ,62.00 ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,220000.00
Casa Padrão,São Francisco,1,2,,113.09 ,62.00 ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,220000.00
Casa Padrão,São Francisco,1,2,,113.09 ,62.00 ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,220000.00
Casa Padrão,São Francisco,1,2,2,113.09 ,85.00 ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,360000.00
Casa Sobrado,Vila Industrial,2,3,2,202.53 ,153.60 ,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0,1050000.00
Terreno Lote,Vila Becker,0,0,0,360.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000.00
Casa Padrão,Jardim Coopagro,1,2,2,125.00 ,62.00 ,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,265000.00
Casa Padrão,São Francisco,1,2,2,142.25 ,60.00 ,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,250000.00
Casa Sobrado,Vila Becker,3,3,2,360.00 ,256.00 ,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,1500000.00
Casa Padrão,Jardim Pancera,1,3,2,180.00 ,10.00 ,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,625000.00
Casa Padrão,Jardim Pancera,1,3,2,180.00 ,10.00 ,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,625000.00
Terreno Lote,Centro,0,0,0,420000.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350000.00
Terreno Lote,Jardim Coopagro,0,0,0,6051.70 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1936000.00
Casa Padrão,Vila Becker,2,3,2,180.00 ,113.00 ,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,650000.00
Casa Padrão,Vila Becker,2,3,2,180.00 ,117.00 ,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,650000.00
Comercial Sala Comercial,Vila Operária,,,,375.70 ,270.32 ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,990000.00
Casa Padrão,Centro,1,3,,577.00 ,160.25 ,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,690000.00
Casa Padrão,Jardim Pancera,1,3,2,213.00 ,106.00 ,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,630000.00
Casa Sobrado,São Francisco,1,2,2,69.00 ,63.00 ,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,240000.00
Casa Sobrado,São Francisco,1,2,2,61.00 ,63.00 ,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,230000.00
Casa Sobrado,São Francisco,1,2,2,61.00 ,63.00 ,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,230000.00
Casa Sobrado,São Francisco,1,2,2,61.00 ,63.00 ,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,230000.00
Casa Padrão,Jardim Europa,1,3,2,250.00 ,90.00 ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,240000.00
Casa Padrão,Centro,,2,,540.00 ,152.60 ,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,600000.00
Terreno Lote,Jardim La Salle,0,0,0,720.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200000.00
Apartamento Padrão,Jardim Coopagro,1,2,,0,72.24 ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,220000.00
Casa Padrão,Vila Pioneiro,1,4,2,488.56 ,144.70 ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,360000.00
Casa Padrão,Jardim Bressan,1,4,2,360.00 ,90.00 ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,220000.00
Casa Sobrado,Jardim La Salle,3,4,5,490.00 ,270.23 ,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1700000.00
Casa Padrão,Jardim Porto Alegre,3,3,2,287.00 ,110.00 ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,490000.00
Casa Padrão,Vila Industrial,4,3,4,360.00 ,206.00 ,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1570000.00
Terreno Lote,Jardim Panorama,0,0,0,600.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000.00
Casa Sobrado,Tocantins,4,3,3,600.26 ,308.26 ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3300000.00
Casa Padrão,Jardim Santa Clara IV,1,3,2,233.12 ,120.00 ,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,275000.00
Casa Padrão,Jardim Europa,1,4,2,250.00 ,140.00 ,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,280000.00
Casa Padrão,Jardim Coopagro,1,3,2,123.00 ,173.00 ,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,315000.00
Casa Padrão,Jardim Coopagro,1,3,2,123.00 ,173.00 ,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,315000.00
Casa Padrão,Jardim Coopagro,1,2,2,125.00 ,63.00 ,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,275000.00
Casa Padrão,Jardim Coopagro,1,2,2,125.00 ,63.00 ,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,275000.00
Casa Padrão,Jardim Pancera,3,3,3,362.24 ,166.60 ,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,1,0,1050000.00
Casa Padrão,Jardim Panorama,1,3,2,210.00 ,99.00 ,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,550000.00
Casa Padrão,Jardim Panorama,1,3,2,210.00 ,99.00 ,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,480000.00
Rural Chácara sem Casa,Tocantins,0,0,0,12100.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5880000.00
Casa Sobrado,Jardim Pancera,2,3,3,180.00 ,131.05 ,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,850000.00
Apartamento Padrão,Jardim Coopagro,1,2,2,108.80 ,74.00 ,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,339000.00
Terreno Lote,Pinheirinho,0,0,0,283.50 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160000.00
Casa Padrão,Jardim Coopagro,1,2,,78.12 ,56.20 ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,190000.00
Casa Padrão,Jardim Coopagro,1,2,,68.75 ,49.72 ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,180000.00
Casa Padrão,Jardim Coopagro,1,3,2,250.00 ,68.42 ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,280000.00
Casa Padrão,São Francisco,1,3,2,240.00 ,139.41 ,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,200000.00
Casa Padrão,Jardim Coopagro,1,2,,87.50 ,49.72 ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,200000.00
Casa Padrão,Tocantins,1,3,2,125.00 ,108.00 ,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,675000.00
Casa Padrão,Tocantins,1,3,2,125.00 ,115.00 ,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,695000.00
Rural Chácara sem Casa,Área Rural de Toledo,0,0,0,28000.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1540000.00
Terreno Lote,Centro,0,0,0,1000.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500000.00
Casa Padrão,São Francisco,1,3,,300.00 ,130.00 ,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,300000.00
Apartamento Padrão,Vila Operária,1,2,,74.41 ,55.47 ,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,210000.00
Casa Padrão,São Francisco,1,2,,83.37 ,51.20 ,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,220000.00
Apartamento Padrão,Centro,1,2,,0,49.00 ,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,210000.00
